,precision,recall,f1-score,support
IMPUGNACAO,1.0,1.0,1.0,296.0
CUMPRIMENTO-DE-SETENCA,1.0,1.0,1.0,86.0
REMICAO-DE-PENA,0.9874476987447699,1.0,0.9936842105263158,236.0
INDULTO-COMUTACAO,0.9966555183946488,0.9802631578947368,0.988391376451078,304.0
ALVARA-JUDICIAL-LIBERACAO-DE-CORPO,0.9767441860465116,1.0,0.9882352941176471,42.0
REGISTRO-CIVIL,0.967741935483871,1.0,0.9836065573770492,150.0
TRANSFERENCIA-DE-EXECUCAO,0.9662162162162162,1.0,0.9828178694158075,143.0
INDENIZATORIAS,1.0,0.9642857142857143,0.9818181818181818,28.0
INTIMACAO-NEGATIVA,0.9605263157894737,0.9931972789115646,0.9765886287625418,147.0
EXTINCAO-DE-PUNIBILIDADE,0.9619686800894854,0.9750566893424036,0.9684684684684685,441.0
EXCECAO-DE-PRE-EXECUTIVIDADE,0.9273127753303965,0.9905882352941177,0.9579067121729238,425.0
OFICIOS,0.9057301293900185,0.98,0.9414024975984631,500.0
USUCAPIAO,0.9127906976744186,0.9235294117647059,0.9181286549707602,170.0
LIVRAMENTO-CONDICIONAL,1.0,0.8461538461538461,0.9166666666666666,26.0
AGRAVO,1.0,0.8333333333333334,0.9090909090909091,12.0
HABEAS-CORPUS,0.8898678414096917,0.926605504587156,0.9078651685393259,218.0
DISSOLUCAO-DE-CONDOMINIO,1.0,0.7894736842105263,0.8823529411764706,19.0
CONTRARRAZOES-AO-AGRAVO,0.6581196581196581,0.9058823529411765,0.7623762376237624,85.0
EMBARGOS,1.0,0.5,0.6666666666666666,16.0
APELACAO,0.0,0.0,0.0,15.0
UNIFICACAO-DE-PENAS,0.0,0.0,0.0,26.0
PROGRESSAO-DE-REGIME,0.0,0.0,0.0,25.0
CONSIGNACAO-EM-PAGAMENTO,0.0,0.0,0.0,13.0
SAIDA-TEMPORARIA,0.0,0.0,0.0,35.0
