,EXTINCAO-DE-PUNIBILIDADE,AGRAVO,IMPUGNACAO,EMBARGOS,APELACAO,REGISTRO-CIVIL,LIVRAMENTO-CONDICIONAL,INDULTO-COMUTACAO,CUMPRIMENTO-DE-SETENCA,OFICIOS,INDENIZATORIAS,EXCECAO-DE-PRE-EXECUTIVIDADE,TRANSFERENCIA-DE-EXECUCAO,USUCAPIAO,UNIFICACAO-DE-PENAS,HABEAS-CORPUS,INTIMACAO-NEGATIVA,DISSOLUCAO-DE-CONDOMINIO,REMICAO-DE-PENA,PROGRESSAO-DE-REGIME,CONSIGNACAO-EM-PAGAMENTO,CONTRARRAZOES-AO-AGRAVO,SAIDA-TEMPORARIA,ALVARA-JUDICIAL-LIBERACAO-DE-CORPO
EXTINCAO-DE-PUNIBILIDADE,430,0,0,0,0,0,0,0,0,3,0,2,0,2,0,1,0,0,0,0,0,0,3,0
AGRAVO,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPUGNACAO,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMBARGOS,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APELACAO,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGISTRO-CIVIL,0,0,0,0,0,149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LIVRAMENTO-CONDICIONAL,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
INDULTO-COMUTACAO,0,0,0,0,0,0,0,299,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CUMPRIMENTO-DE-SETENCA,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFICIOS,0,0,0,0,0,0,0,1,0,471,0,11,0,8,1,0,0,0,0,0,0,0,8,0
INDENIZATORIAS,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0
EXCECAO-DE-PRE-EXECUTIVIDADE,1,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0
TRANSFERENCIA-DE-EXECUCAO,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0
USUCAPIAO,1,0,0,0,0,0,0,0,0,5,0,2,0,161,0,1,0,0,0,0,0,0,0,0
UNIFICACAO-DE-PENAS,0,0,0,0,0,0,0,0,0,0,0,3,0,1,20,0,0,0,1,0,0,0,1,0
HABEAS-CORPUS,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,206,0,0,0,0,0,1,4,0
INTIMACAO-NEGATIVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0
DISSOLUCAO-DE-CONDOMINIO,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,7,0,0,0,0,3,0
REMICAO-DE-PENA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0
PROGRESSAO-DE-REGIME,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,8,0,1,0,1,0,4,5,0
CONSIGNACAO-EM-PAGAMENTO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,2,0,0,0,0,2,1,0
CONTRARRAZOES-AO-AGRAVO,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,1,0,0,0,0,75,1,0
SAIDA-TEMPORARIA,1,0,0,0,0,0,0,0,0,1,0,12,0,0,1,4,0,0,0,0,0,0,16,0
ALVARA-JUDICIAL-LIBERACAO-DE-CORPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
