,precision,recall,f1-score,support
IMPUGNACAO,1.0,1.0,1.0,296.0
APELACAO,1.0,1.0,1.0,15.0
ALVARA-JUDICIAL-LIBERACAO-DE-CORPO,1.0,1.0,1.0,42.0
CUMPRIMENTO-DE-SETENCA,1.0,1.0,1.0,86.0
REMICAO-DE-PENA,0.9957805907172996,1.0,0.9978858350951374,236.0
REGISTRO-CIVIL,0.9933333333333333,0.9933333333333333,0.9933333333333333,150.0
TRANSFERENCIA-DE-EXECUCAO,0.9862068965517241,1.0,0.9930555555555556,143.0
INDULTO-COMUTACAO,0.9966666666666667,0.9835526315789473,0.9900662251655629,304.0
INTIMACAO-NEGATIVA,0.98,1.0,0.98989898989899,147.0
EXTINCAO-DE-PUNIBILIDADE,0.9907834101382489,0.9750566893424036,0.9828571428571429,441.0
INDENIZATORIAS,1.0,0.9642857142857143,0.9818181818181818,28.0
LIVRAMENTO-CONDICIONAL,1.0,0.9615384615384616,0.9803921568627451,26.0
EMBARGOS,0.9411764705882353,1.0,0.9696969696969697,16.0
OFICIOS,0.9711340206185567,0.942,0.9563451776649746,500.0
EXCECAO-DE-PRE-EXECUTIVIDADE,0.8945147679324894,0.9976470588235294,0.9432703003337041,425.0
USUCAPIAO,0.936046511627907,0.9470588235294117,0.9415204678362573,170.0
AGRAVO,1.0,0.8333333333333334,0.9090909090909091,12.0
HABEAS-CORPUS,0.8728813559322034,0.944954128440367,0.9074889867841409,218.0
CONTRARRAZOES-AO-AGRAVO,0.9146341463414634,0.8823529411764706,0.8982035928143712,85.0
UNIFICACAO-DE-PENAS,0.8333333333333334,0.7692307692307693,0.8,26.0
DISSOLUCAO-DE-CONDOMINIO,0.875,0.3684210526315789,0.5185185185185185,19.0
SAIDA-TEMPORARIA,0.38095238095238093,0.45714285714285713,0.4155844155844156,35.0
PROGRESSAO-DE-REGIME,1.0,0.04,0.07692307692307693,25.0
CONSIGNACAO-EM-PAGAMENTO,0.0,0.0,0.0,13.0
